Date,Open,High,Low,Close,Adj Close,Volume
5/23/2023,127.239998,129.089996,127.129997,128.179993,128.179993,4592300
5/24/2023,127.82,127.900002,125.470001,125.68,125.68,3915500
5/25/2023,125.610001,127.230003,125.010002,126.760002,126.760002,4102900
5/26/2023,127.059998,129.660004,126.809998,128.889999,128.889999,5612600
5/30/2023,129.559998,130.070007,128.259995,129.479996,129.479996,3741100
5/31/2023,128.509995,129.440002,127.459999,128.589996,128.589996,11590200
6/1/2023,128.440002,130.149994,127.779999,129.820007,129.820007,4136100
6/2/2023,130.380005,133.119995,130.149994,132.419998,132.419998,5373900
6/5/2023,133.119995,133.580002,132.270004,132.639999,132.639999,3993500
6/6/2023,132.429993,132.940002,131.880005,132.690002,132.690002,3298000
6/7/2023,132.5,134.440002,132.190002,134.380005,134.380005,5772000
6/8/2023,134.690002,135.979996,134.009995,134.410004,134.410004,4128500
6/9/2023,134.360001,136.100006,134.169998,135.300003,135.300003,3981500
6/12/2023,136,136.619995,135.820007,136.419998,136.419998,4494500
6/13/2023,136.509995,138.169998,136,137.600006,137.600006,3927300
6/14/2023,137.800003,138.929993,136.940002,137.199997,137.199997,4514900
6/15/2023,137.270004,138.800003,137.179993,138.399994,138.399994,3812600
6/16/2023,139.229996,139.470001,137.470001,137.479996,137.479996,7473100
6/20/2023,136.360001,137.229996,135.889999,135.960007,135.960007,4271300
6/21/2023,135.110001,135.389999,133.289993,133.690002,133.690002,5501300
6/22/2023,131.679993,132.960007,130.679993,131.169998,131.169998,6012800
6/23/2023,130.399994,130.619995,129.179993,129.429993,129.429993,11324700
6/26/2023,129.389999,131.410004,129.309998,131.339996,131.339996,4845600
6/27/2023,131.300003,132.949997,130.830002,132.339996,132.339996,3219900
6/28/2023,132.059998,132.169998,130.910004,131.759995,131.759995,2753800
6/29/2023,131.75,134.350006,131.690002,134.059998,134.059998,3639800
6/30/2023,134.690002,135.029999,133.429993,133.809998,133.809998,4236400
7/3/2023,133.419998,134.350006,132.869995,133.669998,133.669998,1477100
7/5/2023,133.320007,134.309998,132.589996,134.240005,134.240005,2955100
7/6/2023,133.240005,133.899994,131.550003,132.160004,132.160004,3507700
7/7/2023,131.779999,133.850006,131.75,132.080002,132.080002,2982400
7/10/2023,131.759995,133.050003,131.699997,132.899994,132.899994,2369200
7/11/2023,133.660004,134.559998,133.229996,134.440002,134.440002,2925200
7/12/2023,135.070007,135.330002,132.570007,132.839996,132.839996,3732200
7/13/2023,133.509995,135.070007,133.360001,133.919998,133.919998,3221400
7/14/2023,133.910004,133.919998,132.940002,133.399994,133.399994,2860700
7/17/2023,133.259995,134.610001,133.100006,134.240005,134.240005,3167400
7/18/2023,134.710007,135.949997,134.289993,135.360001,135.360001,3852100
7/19/2023,135.529999,136.449997,135.190002,135.479996,135.479996,5520000
7/20/2023,137.190002,140.320007,136.559998,138.380005,138.380005,10896300
7/21/2023,138.210007,139.779999,137.759995,138.940002,138.940002,5858600
7/24/2023,139.350006,140.119995,138.779999,139.539993,139.539993,3475200
7/25/2023,139.419998,140.429993,139.039993,140.330002,140.330002,3770800
7/26/2023,140.440002,141.25,139.880005,141.070007,141.070007,4046400
7/27/2023,142.300003,143.380005,141.899994,142.970001,142.970001,6331600
7/28/2023,143.440002,143.949997,142.850006,143.449997,143.449997,6686400
7/31/2023,143.809998,144.600006,143.529999,144.179993,144.179993,6138100
8/1/2023,144.25,144.479996,142.169998,143.330002,143.330002,4797700
8/2/2023,142.779999,144.300003,142.309998,144.169998,144.169998,4957400
8/3/2023,143.779999,145.220001,143.309998,144.449997,144.449997,3951900
8/4/2023,145.089996,146.089996,143.990005,144.240005,144.240005,4223100
8/7/2023,145,146.5,144.929993,146.179993,146.179993,3437700
